title,content
Investigators try to salvage aircraft,"Investigators yesterday pushed forward with efforts to retrieve the two aircraft involved in a crash in Washington that killed 67 people and raised questions about air safety in the US capital. Fresh from recovering the so-called black boxes from the American Airlines plane that crashed into the Potomac River after colliding with an Army Black Hawk helicopter on Wednesday, divers aim to ""salvage the aircraft"" and find additional components, Washington's fire department said. ""Overnight, boats will remain on scene for security and surface searches from local, state, and federal regional partners,"" it said. The National Transportation Safety Board is studying the cockpit voice recorder and flight data recorder from the CRJ700 airplane, which carried 60 passengers and four crew members, all of whom perished in the crash. The three members of the helicopter crew also died. The board said it will have preliminary report into disaster within 30 days. Authorities have not pinpointed a reason for the collision. The military said the maximum altitude for the route the helicopter was taking is 200 feet (61 meters) but it may have been flying higher. The collision occurred at an altitude of around 300 feet, according to flight tracking website FlightRadar24. Senator Maria Cantwell, the top Democrat on the Senate Commerce Committee, questioned the safety of military and commercial flights separated by as little as 350 feet (107 m) vertically and horizontally."
"Arial Beel: High pumpkin yield, low profit for farmers","Despite a bumper harvest of pumpkins in the Arial Beel area of Munshiganj, farmers are struggling financially due to a steep decline in market prices. By the end of January, the water in Arial Beel had dried up, allowing farmers to harvest the pumpkins they had cultivated along the banks of the waterbodies in the area. Farmers typically grow two varieties of pumpkins: a larger, colourful local variety and a pest-resistant hybrid variety, which has gained popularity in recent years. While this year's harvest was abundant, market prices have fallen sharply, leaving farmers struggling to cover their production costs. ""Last year, I sold pumpkins for Tk 30-32 per kilogramme, but this year I'm getting only Tk 8-10 per kg. The situation is the same for all the 3-4 thousand farmers here. How can we survive like this?"" said Abul Kashem, a farmer from Gadighat in Shyamsiddhi union. The cost of production has also increased significantly. Fertiliser prices have risen by Tk 500-700 per bag compared to last year, and labour costs are adding to the financial strain, said farmers. Nurul Haque, another local farmer, said, ""It costs about Tk 15,000 to grow pumpkins, with additional costs for transporting the produce to the city. With the current market prices, we are barely covering our costs, let alone making any profit."" Contacted, Bipul Kumar Mohanta, deputy director of the DAE in Munshiganj, said farmers are currently selling pumpkins for Tk 15-20 per kg. He said no significant problems exist in the sector. Mohammad Samir Hossain Siam, agricultural marketing officer, said efforts are underway to find new markets with higher demand for pumpkins, which could help raise prices for local farmers."
Uprising injured block road in front of NITOR,"Injured protesters from last year's mass uprising blocked the road in front of the National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR) in Dhaka yesterday night, demanding proper medical treatment, rehabilitation, and compensation. The demonstrators, many still recovering from serious injuries, also called for official recognition of their sacrifices. At least 50 injured, undergoing treatment at the NITOR and the National Institute of Ophthalmology and Hospital, blocked the Agargaon-Shishu Mela link road in front of NITOR around 9:30pm. The blockade to both lanes of the road caused severe disruption to traffic, with vehicles being rerouted, leading to heavy congestion in the surrounding areas. During a visit, this reporter saw some injured chanting slogans while lying on the road. Some were seen joining the protest with crutches, demanding justice and an end to discrimination. The blockade caused severe disruption to traffic, with vehicles being rerouted, leading to heavy congestion in the surrounding areas. The injured protesters stated that they played a role in bringing down the previous regime but have received no financial assistance. ""We do not want money, we only demand proper treatment and rehabilitation,"" said Rafiqul Islam, 30, who lost one of his eyes from a police rubber bullet in the capital's Mirpur-10 area on July 19. He said, ""It's been six months, but the government did not keep its promise. If needed, the government should send the victims abroad."" They further expressed frustration with the interim government, claiming it had failed to ensure their medical care. ""We have no faith in this administration or its advisers. That is why we are protesting,"" said Helal Hasan, a college student from Sirajganj. He was injured on the back in police firing on August 4. Golam Azam, officer-in-charge of the Sher-e-Bangla Nagar Police station, told The Daily Star, ""The injured of the anti-discrimination movement blocked the road peacefully. We are keeping an eye to maintain the law and order."" The blockade continued till the report was filed around 1:00am."
Remnants of fascist regime still present,"Although Sheikh Hasina's autocratic rule has ended, her regime's remnants are still present in the country, BNP Acting Chairman Tarique Rahman said yesterday. In a virtual address to the council of the party's Brahmanbaria district unit, he emphasised the need for all citizens to stay united in the face of any kind of challenge. He said that the ""autocratic Hasina"" government ruled the country for a long time, which may have eroded public trust in political parties. It is now the responsibility of BNP leaders and activists to rebuild confidence among the people. The only option for democratic forces is now to stay united to move the country forward and rebuild it with peace as the cohorts of the fallen fascists are trying to raise their ugly heads again, he added. ""The autocrats against whom we waged the movement are now on the run. Although the head of the autocratic regime fled, many of its remnants are still present in Bangladesh,"" he said. Although councils are supposed to be held every two years, the council at the field of Sohagpur Abbasuddin Khan Model College took place after nearly 12 years as part of the party's efforts to overhaul its grassroots. The party's acting chairman said that the conspirators continued their efforts to destabilise the country in various ways, including through agitations under the guise of placing various demands. ""We can't allow them to achieve their goal. If we want to protect ourselves, our families, the people of the country, and overall Bangladesh, we all must remain united at any cost. ""So, we take the first vow at this council that all BNP leaders and workers will remain united under any circumstances. Our second pledge is that, with the people, we'll build the country by maintaining unity,"" he said. The BNP leader said there could be differences of opinion among democratic parties and organisations on various political issues, including the future function of parliament, its tenure, the tenure of governments -- both interim and elected -- and the limit for a person's tenure as prime minister. ""We can resolve these issues through discussions. But if we engage in excessive debates on these matters, we will fall behind in rebuilding the country,"" he said. Tarique said the country and its people would suffer if the rebuilding activities of Bangladesh were hindered. ""We'll sit together and engage in discussions. If we can't resolve it in one sitting, we'll continue to meet and find solutions through dialogue."" He said the people of Bangladesh have not had the right to vote in the last 15 years, as the Awami League government took it away at gunpoint in the name of dummy, voter-less, and rigged elections. The BNP leader also accused the Hasina regime of destroying all institutions and plundering significant amounts of money in the name of development, as it had no accountability to the people. He said the government's accountability is ensured when the people can elect their representatives through their votes. At another programme, BNP Secretary General Mirza Fakhrul Islam Alamgir said that Hasina continued to conspire against the country from Delhi. ""What kind of person is she (Hasina)? She has no remorse. She has killed so many people…,"" he said. He added that while the country has been freed from Hasina's rule, democracy has not yet been restored. Urging the interim government to remain neutral, Fakhrul said, ""Dr Yunus' government must ensure the election is held so that the people can reclaim their rights. The election must be conducted under a neutral administration."" [Our Brahmanbaria Correspondent contributed to this report]"
Justice for mass killing first even if it delays polls,"Justice for themass killingsduring the uprising must be ensured, even if it delays the elections, said Jamaat-e-Islami Ameer Shafiqur Rahman yesterday. ""Justice must be served to those who killed people in the past and during the student-led movement in this country. If elections have to be delayed for that, so be it,"" he said at a meeting of Sunamganj district Jamaat at Government Jubilee High School ground in Sunamganj. The Jamaat chief also slammed the political environment prevailing in the country. ""Real change is not possible through those who engage themselves in politics of deceit,"" he said, alleging that leaders of some political parties put party before the nation. ""Even they put individuals ahead of the party,"" he added. Taking a dig at the ousted Awami League, he said those who threatened to banish them have now fled the country. ""They used to send us abroad without passports, visas, or tickets; but now they are fleeing without those,"" he said. He also took a swipe at former Supreme Court judge Justice Shamsuddin Chowdhury Manik, saying, ""Have you seen a Supreme Court judge sleeping on a banana leaf? That was his fate due to his misuse of power while in office."" On education, he pledged that if Jamaat comes to power, it will prioritise education and establish a modern, job-oriented system. ""Our brightest minds leave the country for higher education and never return, whereas, in the past, the Mughals, British, and Portuguese came here seeking fortune. Now, the situation has reversed,"" he said. Highlighting the integrity of his party's activists, he said his party activists are not involved in any extortion or litigation trade. ""Criticise us as much as possible. It will only make us work harder. If we fail to deliver, you have every right to abandon us,"" he said. Shafiq said if Jamaat comes to power, Sunamganj will witness rapid development. ""If not, we will fight alongside the people for their rights and development,"" he said. Sunamganj district Jamaat Ameer Maulana Tofayel Ahmad, Jamaat's Assistant Secretary General Advocate Ahsanul Mahboob Zubair were present at the meeting among others."
Jubo dal leader’s death in custody: Who will I call baba now?,"After Touhidul Islam's body was brought back from Cumilla Medical College Hospital yesterday morning, his neighbours gathered at his house in Italla village to see him for the last time. His wife, four daughters, and relatives were found to be inconsolable. ""Who will I call baba now? He was such a good man. My good Baba...they tortured him and killed him. We, four sisters, are orphans now. I want justice for my father's murder,"" Tasfia Akhter, 14, Touhidul's eldest, said with a choked voice. Jubo Dal leader Touhidul Islam, 42, was allegedly tortured to death after being taken from his Cumilla residence in the early hours of Friday by members of the joint forces. The ambulance carrying Touhidul's body was later parked in front of the Cumilla Press Club, where hundreds of locals formed a human chain. They demanded justice, claiming that Touhidul was abducted and brutally murdered. Addressed the media, Touhidul's wife, Yesmin Nahar, said, ""In the early hours of Friday, four men arrived at our house and identified themselves as members of the joint forces. As soon as I let them in, they detained Touhidul and took away our phones. They said they were looking for illegal firearms and ransacked the house but found nothing. Then they left with my husband on a pickup truck without explaining why he was being taken. They said they wouldn't hurt him ""In the morning, they came back to our village. They were looking for a local named Kawser. Touhidul was with them at the time. He looked badly hurt."" Yesmin said Touhidul was not involved in any criminal activities. ""We want justice. We want those involved in his killing to be punished."" Lutfur Rahman, a neighbour, who was detained alongside Touhidul, said, ""They broke into my house and picked me up too. We were taken to the local army camp. There they tied Touhidul to a tree and tortured him all night. The individuals involved were wearing masks."" Touhidul's niece, Mahbuba Uddin, a teacher at Bangabandhu Sheikh Mujibur Rahman Science and Technology University, said, ""We spoke with army officials. An army officer from Cumilla Cantonment, Lieutenant Colonel Mahmudul Hasan, assured us that the army would take action against those responsible."" Touhidul was buried at his family graveyard after his funeral around 2:30pm. He was the convener of Jubo Dal's Panchthubi union unit. Touhidul used to work at a shipping company in Chattogram. He returned home on January 26 after his father's death. The family was supposed to hold a qulkhani on Friday. However, on Friday, his family members found Touhidul dead at Cumilla Medical College Hospital. Speaking to this newspaper on Friday, Mohinul Islam, officer-in-charge of Kotwali Police Station, said, ""The joint forces informed us around 11:00am that an injured man was found in Jhakunipara on the banks of the Gumti River. Police took Touhidul to Cumilla Medical College Hospital, where doctors pronounced him dead."" His body bore marks of trauma and injuries, according to an inquest report prepared by the Kotwali Police Station. However, Touhidul's family has yet to file a case. "
Swechchhasebak Dal leader killed as two BNP groups clash,"A Swechchhasebak Dal leader was killed during a clash between two groups of BNP men in Cumilla's Nangalkot upazila yesterday. The deceased was identified as Md Selim Bhuiyan, 45, convener of Hesakhal union unit of Swechchhasebak Dal, said police. Locals said there was a longstanding political rivalry between Gafur Bhuiyan, former BNP lawmaker, and Mobashwer Alam Bhuiyan, former president of the upazila BNP. Yesterday, Selim, who was a supporter of Gafur, was heading to a political programme in Kakoitola area along with a few partymen. On their way, supporters of Alam attacked them at Banggodda Bazar around 3:00pm, triggering a clash between the two groups, the locals claimed. Selim was critically injured. He was taken to Nangalkot Upazila Health Complex where on-duty doctor declared him dead. Medical officer at the hospital Md Masud Alam said the person was brought dead around 3:10pm. ""However, no injury mark was found in his body. The cause of his death could not be known immediately,"" he told The Daily Star. Nangalkot Police Station's Officer-in-Charge AK Fazlul Haque said their preliminary probe suggests that Selim was killed during a clash between two groups of BNP men. Gafur could not be reached for comments despite repeated attempts. Contacted, Alam said he knew nothing about the clash."
Leave government before forming party,"BNP Secretary General Mirza Fakhrul Islam Alamgir has said the people of Bangladesh will not accept if the students -- who steered the Anti-Discrimination Movement -- form a political party by remaining in the interim government. Speaking at a programme on Saturday, he also called upon the student leaders to refrain from making unnecessary remarks that may lead to political confrontation. ""If students form a new political party, we don't have any objection. In fact, we'll be delighted and we'll welcome them,"" Fakhrul said while speaking at a clothes distribution programme for the destitute at a playground in Uttara's 13-No sector, organised by the Dhaka North City unit of BNP. He said the students can form a political party as part of their efforts to reach the people with their new thoughts and ideas. ""But if they form a party while in government, the people of this country will not accept it,"" the BNP leader observed. Fakhrul further expressed his commitment to cooperate with the students if they form the party through an accepted process. ""We'll work shoulder to shoulder with you (students) to ensure a fair election. At the same time, I would like to request you not to bring any unnecessarily confrontational rhetoric into politics. We hope for that,"" he said. The BNP leader said efforts are being made to destroy the unity among democratic forces by the associates of the Awami fascists. ""We must remain alert to avoid it."" Fakhrul also warned that the ghosts of the Awami League are trying to infiltrate different political parties. ""Don't let them do it. I urge our leaders and workers to ensure that no ghosts of the Awami League intrude into our party."" The BNP leader said the nation was freed from the autocratic rule of Sheikh Hasina through the mass uprising. ""But our ultimate goal – the restoration of democracy -- has not yet been achieved."" He called upon the interim government to arrange the national election after completing the necessary reforms as early as possible. Fakhrul said their party leaders and workers fought and struggled for 15 years for the restoration of democracy through a credible election. ""Many of our leaders and workers died over the last 15 years. In the July movement, 426 of our leaders and activists were killed. What we ask from you (the interim government) is to remain neutral. You must remain completely impartial,"" he said. He reiterated that the next election must be held under a neutral government. ""We want the interim government to ensure the election is held in a completely neutral manner,"" Fakhrul said."
Boat sinks in Shitalakkhya after collision with bulkhead,"A passenger-carrying engine-run boat capsized in the Shitalakkhya river in Narayanganj this afternoon after being hit by a bulkhead. No passengers have been reported missing, said Aminul Haque, officer-in-charge of Narayanganj Sadar River Police Station. Quoting witnesses, the police official said the boat was crossing the Shitalakkhya river when it was struck by a bulkhead near the Hajiganj-Nabiganj terminal around 3:30pm. All nine people on board, including the boatman, managed to swim to a nearby another engine-run boat, added Inspector Aminul."
No intel on top criminals' whereabouts: DB,"Weeks after vowing to arrest top criminals, the Detective Branch today said although they are conducting drives to arrest them, they do not have any specific information on their whereabouts. DMP Additional Commissioner Rezaul Karim Mallick, also the DB chief, said this replying to a reporter's query today at a briefing at the DMP media centre. Allegations of murder, attempt to murder, and extortion involving top-listed criminals following their release from jail after August 5, were reported in different police stations in the capital, he said. The listed criminals include Imam Ul Hasan, alias ""Pichchi Helal"", and Sanjidul Islam Emon. The DB chief, however, assured that regular raids are being conducted to track and arrest those involved in illegal activities. ""We have already arrested several people of Picchi Helal and Emon gangs,"" he said. Today's briefing covered the recent arrest of one suspected mugger connected to the killing of a private car driver, and four suspected muggers centring the wrist-slitting incident of a youth in Adabar's Balur Math area. It also addressed the arrest of six in connection with the gold snatching case in front of the Kotwali court building. Additionally, the briefing mentioned the arrest of five individuals involved in the killing of Dania College student Minhaj in Jatrabari. ""The muggers are disrupting law and order. Special teams, including all units of DB, are working to arrest muggers,"" said the DB chief. Earlier on January 14, during a previous press briefing, the DB chief had vowed that no criminal, regardless of their status, would be spared. ""Whether it's Pichchi Helal, Emon, or any other top criminal, no one will be given leniency. They will be brought under the law,"" he said."
Need state reforms before polls: IAB secretary general,"Reforms must come before elections as the public no longer believes in promises of reform once a party comes to power, said Islami Andolon Bangladesh Secretary General Hafiz Maulana Yunus Ahmad today. He criticised past governments for failing to prioritise reforms despite being in power and emphasised that true welfare for the people can only be achieved through restructuring of the state before electoral processes. He was speaking as chief guest at the biennial conference of IAB's Bagerhat district branch at Swadhinata Udyan this afternoon. ""We have eliminated fascism through an unprecedented alliance, but now we see that this unity has split over the issues of reform and elections. As a result, we must engage in discussions once again,"" he said. ""One group has seized the positions vacated by the previous fascist rulers, which is raising concerns among the conscious citizens,"" he added. ""A major party is now speaking in the language of the Awami League, even mistreating Islamic scholars in various religious gatherings. If anyone behaves in a fascist manner, their fate will be the same as on August 5,"" he warned. The conference, presided over by Maulana Mahfuzur Rahman, president of Bagerhat district IAB, was attended by Maulana Lokman Hossain Jafri, central office secretary, as the special guest. At the end of the conference, a new six-member committee for the 2025-26 session was announced for the Bagerhat district branch."
Two of a family die as bus hits easy bike in Bagerhat,"Two people were killed and three others injured when a Dhaka-bound bus collided with an easy bike in Bagerhat's Morelganj. According to eyewitnesses, the Dhaka-bound GMS bus from Sharankhola crashed head-on into the easy bike in front of the Morelganj Fire Service and Civil Defence Station on the Signboard-Bogi regional highway this afternoon. The collision killed two people on the spot -- Majnu Molla, 45, the easy bike driver, and his sister, Sumi Begum, 36. The injured include four-month-old baby Mili Akter, Jhumur Begum, 48, and Siam Khan, 35 -- all from the same family. They are residents of Dona village in Baliyabunia Union of Morelganj Upazila. ""Five victims were brought to the Morelganj Upazila Health Complex in the afternoon. A man and a woman were already deceased. The three injured are in critical condition and have been referred to Khulna Medical College Hospital for advanced treatment. Among them is a four-month-old baby,"" said Dr Mojahidul Islam, the upazila health and family planning officer. Meanwhile, police seized the bus, but the driver, helper, and supervisor managed to flee. Morelganj Police Station Officer-in-Charge (OC) Md Rakibul Hasan said, ""The bus has been confiscated, and the wreckage of the easy bike has been cleared from the scene. However, the bus staff are on the run. The process of legal action is underway."" The accident has once again raised concerns over reckless driving on regional highways, highlighting the urgent need for stricter traffic enforcement and improved road safety measures."
Indian troops kill 8 Maoists,"Indian commandos shot dead at least eight Maoist rebels in the dense jungles of central India yesterday, as security forces ramp up efforts to crush the long-running conflict. More than 10,000 people have been killed in the decades-long insurgency waged by the rebels, who say they are fighting for the rights of marginalised Indigenous people. The gunfight broke out early on Saturday in the forested areas of Bijapur district in the state of Chhattisgarh, considered the heartland of the insurgency. ""After a fierce gun battle, bodies of eight Maoists were recovered today from the jungles of Bijapur district,"" top police officer Sundarraj P. told AFP. Weapons recovered from the rebels included a grenade launcher and rifles, he said, adding that a search was still underway. A crackdown by security forces has killed some 287 rebels in the past year, an overwhelming majority in Chhattisgarh, according to government data. Amit Shah, India's home minister, said last year the government expected to crush the rebellion by 2026. The Maoists demand land, jobs and a share of the region's immense natural resources for local residents."
India conducts 3 trials of Very Short-Range Air Defence System,"India has successfully conducted three successive flight-trials of Very Short-Range Air Defence System (VSHORADS) from Chandipur off the coast of the Bay of Bengal in eastern state of Odisha, the defence ministry announced today. VSHORADS is a manually-portable air defence missile system designed and developed indigenously which has the capability to meet the needs of army, navy and air force, it said in a statement. During all the three flight-tests carried out by Defence Research and Development Organisation against high-speed targets flying at low altitude, the missiles intercepted and completely destroyed the targets having reduced thermal signature mimicking low-flying drones at different flying conditions. The flight-tests were carried out in final deployment configuration where in two field operators carried out weapon readiness, target acquisition and missile firing, according to the statement. The flight data captured by various range instruments like Telemetry, Electro-Optical Tracking System and Radar deployed by Integrated Test Range, Chandipur, confirmed the pin-point accuracy and established the capability of VSHORADS missile system in neutralising drones along with other classes of aerial threats, said the statement."
India's financial aid to Bangladesh remains unchanged,"India's financial assistance to Bangladesh, as proposed in the annual budget for financial year 2025-26 presented in parliament today, remains unchanged at last year's level of Rs 120 crore ($13.84 million). The latest Indian budget enhanced the assistance by 28.5 percent to the Maldives to Rs 600 crore from Rs 400 crore in the previous budget. The 2025-26 budgetary assistance to Bhutan has been pegged at Rs 2,150 crore, a decrease from Rs 2,543.28 crore in the last budget. The new budget provides for Rs 100 crore for Afghanistan with whom India's relations have of late seen an upward trajectory. India's assistance to its two other South Asian neighbours Nepal and Sri Lanka in the latest budget has been retained at last year's levels of Rs 700 crore and Rs 300 crore respectively. The budget for 2025-26 provides assistance of Rs 350 crore to Myanmar. Meanwhile, a major chunk of the budget's total allocation of Rs 2,33,211 crore for the Home Ministry has gone to the central armed police forces (CAPFs) that are responsible for internal security, guarding borders and securing vital installations. This is an increase from the revised estimate of Rs 1,05,647.19 crore in 2024-25 and will go towards better infrastructure, sophisticated weapons and training. The budgetary allocation for border infrastructure saw a sharp 87% rise — from Rs 2,794.57 crore to Rs 5,237.93 crore. This will be spent on the check posts along the international border and setting up surveillance infrastructure."
India's defence budget up by 9%,"India today hiked its defence budget for 2025-26 financial year by 9.5 percent over last fiscal in order to further boost the military's firepower through procurement of new aircraft, warships and other military hardware. The budget presented in parliament by Finance Minister Nirmala Sitharaman, allocated Rs 6,81,210 crore (approx $79 billion) in a marginal increase over the current fiscal's allocation of Rs 6.22 lakh crore ($74.3 billion). Out of the total budgetary outlay for 2025-26, a total of Rs 1,92,387 crore (approx $22.19 billion) has been allocated for capital expenditure that will largely take care of the new weapon systems. The Defence Ministry received the highest allocation in today's budget a month after Defence Minister Rajnath Singh declared 2025 as the ""year of reforms"" in the sector aimed at mordernising the armed forces. India has since last year intensified India's focus on self reliance in the defence sector. In 2024, significant strides were made towards achieving self-reliance, with the Ministry of Defence recording its highest-ever indigenous defence production value of Rs 1.26 lakh crore ($14.53 billion) and defence exports reaching Rs 21,083 crore ($2.43 billion). Some major weapons acquisitions planned by India next year like long- endurance remotely-piloted aircraft of high and medium altitude, stage payment of deck-based aircraft and next-generation submarines/ships/platforms will be funded out of this allocation. According to the Indian defence ministry, ""In the current geopolitical scenario where the world is witnessing a changing paradigm of modern warfare, Indian armed forces need to be equipped with state-of-the-art weapons and have to be transformed into a technologically-advanced combat-ready force."" The government said the capital investment in defence manufacturing sector has a cascading and multiplier effect in the National Economy which will boost the GDP and provide greater job opportunities to the youth of this country."
Indian soldiers kill two in J&K near Pak border,"Indian soldiers killed two fighters in Jammu and Kashmir (J&K) along the heavily militarised frontier with Pakistan as they attempted to cross into the Indian-administered part of the disputed territory, the army said yesterday. Muslim-majority Kashmir has been divided between nuclear-armed rivals India and Pakistan since their independence in 1947, with both claiming the territory in full. An ""intense and heavy firefight"" was triggered Thursday night between soldiers and ""infiltrating terrorists"" near the de facto border known as the Line of Control (LoC), the Indian army's White Knight Corps said in a statement on social media. The overnight fighting led ""to the neutralisation of two terrorists"", the statement said, referring to the suspected rebels. Weapons and ""war-like stores"" were recovered from the site, the army said, but it was not clear if the bodies of slain fighters were also retrieved. The incident could not be independently verified. India has a permanent deployment of more than half a million soldiers in the territory, and rebel groups have fought for decades demanding independence for Kashmir or its merger with Pakistan."
Sri Lanka records highest deflation in 65 years,"Sri Lanka's consumer prices fell by 4.0 percent in January, the highest deflation rate since July 1960, official data showed yesterday, as the South Asian nation emerges from its worst economic meltdown. January was the fifth consecutive month of deflation, according to the Colombo Consumer Price Index. Inflation hit a record 69.8 percent in September 2022 at the height of the country's economic crisis, which saw months of widespread consumer goods shortages. Officials said sharp reductions in electricity and fuel costs contributed to the sharp fall in prices in January, but the central bank forecasts annual inflation in 2025 to be around 5.0 percent. Sri Lanka secured a $2.9 billion bailout loan from the International Monetary Fund (IMF) after the 2022 crash. President Anura Kumara Dissanayake, elected last year, has vowed to maintain the IMF bailout programme negotiated by his predecessor that includes higher taxes and cuts to state spending."
30 killed in India’s Kumbh festival stampede,"Dozens of people were killed in a pre-dawn stampede at the Maha Kumbh Mela in northern India yesterday, police sources and a Reuters witness said, as tens of millions gathered to take a dip in sacred river waters on the most auspicious day of a six-week Hindu festival. State authorities said at least 30 people were killed and 60 were injured in the pre-dawn stampede. Three police sources and a Reuters witness put the toll at nearly 40. Reuters counted 39 bodies inside the morgue of the local hospital. One of the three police sources and a fourth officer said all 39 were stampede victims. All three police sources said nearly 40 bodies had been brought to the morgue. Bodies were still being brought to the Moti Lal Nehru Medical College hospital morgue more than 12 hours after the tragedy at the world's biggest gathering of humanity. ""More bodies are coming in. We have nearly 40 bodies here. We are transferring them out as well and handing over to families one by one,"" one of the sources said. Senior police officer Vaibhav Krishna told reporters that 90 people were taken to the hospital after the stampede, of whom 30 died and the rest were being treated. Opposition parties blamed the stampede on what they called the government's ""mismanagement"" and ""VIP culture"". ""VIP culture should be curbed and the government should make better arrangements to meet the needs of common devotees,"" Rahul Gandhi, leader of main opposition Congress party, said on X, referring to politicians and celebrities being treated differently. Distraught relatives queued up to identify those killed by the stampede, which occurred when crowds surged towards the confluence of three rivers, where immersion is considered particularly sacred. Some witnesses spoke of a huge push that caused devotees to fall on each other, while others said closure of routes to the water brought the dense crowd to a standstill and caused people to collapse due to suffocation. An official at Prayagraj's SRN Hospital, where some of the injured were taken, said those who died had either suffered heart attacks or had comorbidities like diabetes. ""People came in with fractures, broken bones...Some collapsed on the spot and were brought dead,"" said the official, who did not want to be named. Prime Minister Narendra Modi offered condolences to ""devotees who have lost their loved ones"", without specifying the number of dead."
"30 killed, 60 hurt in festival stampede in India","At least 30 people were killed and 60 injured in a pre-dawn stampede at the Maha Kumbh Mela, in Prayagraj, formerly Allahabad, in India's Uttar Pradesh state, a senior official confirmed. The stampede occurred at the confluence of the Ganges, Jamuna, and the mythical Saraswati rivers as crores of devotees jostled for space to take a holy dip on the occasion of Mauni Amavasya, considered one of the most auspicious days in Hindu tradition. Deputy Inspector General of Uttar Pradesh Police Vaibhav Krishna said at a press conference in Prayagraj this evening that 30 people lost their lives, and 60 others sustained injuries in the tragic incident."
